date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2021-02-24,260.0,45.0,13.0
2021-02-23,271.0,49.0,19.0
2021-02-22,283.0,48.0,15.0
2021-02-21,268.0,47.0,17.0
2021-02-20,265.0,46.0,21.0
2021-02-19,284.0,50.0,20.0
2021-02-18,287.0,46.0,15.0
2021-02-17,284.0,49.0,23.0
2021-02-16,292.0,51.0,24.0
2021-02-15,302.0,54.0,27.0
2021-02-14,308.0,54.0,21.0
2021-02-13,302.0,55.0,15.0
2021-02-12,315.0,55.0,22.0
2021-02-11,317.0,53.0,26.0
2021-02-10,332.0,59.0,17.0
2021-02-09,341.0,64.0,23.0
2021-02-08,360.0,65.0,33.0
2021-02-07,362.0,64.0,15.0
2021-02-06,362.0,64.0,25.0
2021-02-05,378.0,71.0,27.0
2021-02-04,392.0,69.0,23.0
2021-02-03,400.0,71.0,29.0
2021-02-02,416.0,67.0,33.0
2021-02-01,430.0,68.0,28.0
2021-01-31,433.0,66.0,24.0
2021-01-30,440.0,65.0,20.0
2021-01-29,453.0,64.0,30.0
2021-01-28,447.0,62.0,41.0
2021-01-27,462.0,68.0,36.0
2021-01-26,491.0,64.0,33.0
2021-01-25,499.0,68.0,26.0
2021-01-24,483.0,68.0,30.0
2021-01-23,474.0,69.0,38.0
2021-01-22,489.0,66.0,28.0
2021-01-21,478.0,50.0,28.0
2021-01-20,473.0,44.0,43.0
2021-01-19,472.0,44.0,47.0
2021-01-18,430.0,39.0,55.0
2021-01-17,422.0,43.0,41.0
2021-01-16,387.0,43.0,29.0
2021-01-15,384.0,41.0,43.0
2021-01-14,394.0,40.0,35.0
2021-01-13,374.0,38.0,34.0
2021-01-12,365.0,34.0,56.0
2021-01-11,366.0,34.0,54.0
2021-01-10,337.0,32.0,49.0
2021-01-09,333.0,32.0,47.0
2021-01-08,330.0,32.0,37.0
2021-01-07,325.0,28.0,46.0
2021-01-06,315.0,29.0,44.0
2021-01-05,324.0,31.0,38.0
2021-01-04,333.0,29.0,26.0
2021-01-03,320.0,29.0,19.0
2021-01-02,309.0,29.0,35.0
2021-01-01,303.0,26.0,36.0
2020-12-31,325.0,24.0,26.0
2020-12-30,319.0,27.0,33.0
2020-12-29,304.0,24.0,37.0
2020-12-28,298.0,25.0,25.0
2020-12-27,290.0,25.0,22.0
2020-12-26,286.0,25.0,32.0
2020-12-25,281.0,23.0,22.0
2020-12-24,294.0,25.0,23.0
2020-12-23,295.0,25.0,16.0
2020-12-22,308.0,27.0,33.0
2020-12-21,301.0,26.0,32.0
2020-12-20,150.0,19.0,27.0
2020-12-19,288.0,27.0,24.0
2020-12-18,295.0,26.0,14.0
2020-12-17,285.0,29.0,24.0
2020-12-16,290.0,29.0,35.0
2020-12-15,287.0,28.0,29.0
2020-12-14,284.0,31.0,35.0
2020-12-13,246.0,27.0,32.0
2020-12-12,230.0,26.0,51.0
2020-12-11,206.0,24.0,32.0
2020-12-10,201.0,20.0,32.0
2020-12-09,199.0,16.0,31.0
2020-12-08,203.0,20.0,26.0
2020-12-07,223.0,21.0,15.0
2020-12-06,219.0,21.0,20.0
2020-12-05,199.0,21.0,17.0
2020-12-04,193.0,24.0,30.0
2020-12-03,185.0,22.0,21.0
2020-12-02,187.0,23.0,37.0
2020-12-01,197.0,24.0,21.0
2020-11-30,198.0,24.0,22.0
2020-11-29,201.0,23.0,19.0
2020-11-28,198.0,24.0,15.0
2020-11-27,217.0,23.0,17.0
2020-11-26,230.0,20.0,17.0
2020-11-25,246.0,20.0,19.0
2020-11-24,259.0,20.0,19.0
2020-11-23,271.0,20.0,22.0
2020-11-22,261.0,20.0,17.0
2020-11-21,263.0,21.0,28.0
2020-11-20,254.0,24.0,31.0
2020-11-19,261.0,29.0,31.0
2020-11-18,260.0,30.0,28.0
2020-11-17,236.0,29.0,28.0
2020-11-16,239.0,27.0,38.0
2020-11-15,225.0,28.0,22.0
2020-11-14,219.0,25.0,35.0
2020-11-13,213.0,23.0,23.0
2020-11-12,203.0,21.0,24.0
2020-11-11,197.0,25.0,31.0
2020-11-10,181.0,25.0,24.0
2020-11-09,157.0,22.0,33.0
2020-11-08,154.0,19.0,36.0
2020-11-07,150.0,18.0,24.0
2020-11-06,157.0,20.0,18.0
2020-11-05,156.0,20.0,11.0
2020-11-04,163.0,21.0,18.0
2020-11-03,153.0,18.0,15.0
2020-11-02,138.0,19.0,27.0
2020-11-01,130.0,18.0,23.0
2020-10-31,124.0,16.0,20.0
2020-10-30,115.0,14.0,17.0
2020-10-29,103.0,12.0,26.0
2020-10-28,109.0,10.0,19.0
2020-10-27,102.0,9.0,19.0
2020-10-26,88.0,9.0,16.0
2020-10-25,86.0,9.0,14.0
2020-10-24,76.0,8.0,11.0
2020-10-23,76.0,6.0,14.0
2020-10-22,74.0,7.0,10.0
2020-10-21,63.0,7.0,10.0
2020-10-20,58.0,6.0,15.0
2020-10-19,53.0,6.0,10.0
2020-10-18,52.0,5.0,11.0
2020-10-17,49.0,5.0,7.0
2020-10-16,47.0,5.0,10.0
2020-10-15,44.0,4.0,5.0
2020-10-14,46.0,6.0,9.0
2020-10-13,46.0,3.0,5.0
2020-10-12,38.0,3.0,6.0
2020-10-11,37.0,3.0,12.0
2020-10-10,36.0,3.0,5.0
2020-10-09,41.0,3.0,4.0
2020-10-08,42.0,2.0,2.0
2020-10-07,45.0,1.0,5.0
2020-10-06,43.0,3.0,7.0
2020-10-05,41.0,2.0,2.0
2020-10-04,40.0,1.0,6.0
2020-10-03,39.0,1.0,4.0
2020-10-02,38.0,1.0,6.0
2020-10-01,34.0,1.0,5.0
2020-09-30,34.0,1.0,5.0
2020-09-29,34.0,1.0,4.0
2020-09-28,35.0,3.0,3.0
2020-09-27,37.0,3.0,1.0
2020-09-26,36.0,2.0,3.0
2020-09-25,39.0,2.0,5.0
2020-09-24,38.0,3.0,4.0
2020-09-23,33.0,2.0,5.0
2020-09-22,36.0,2.0,11.0
2020-09-21,33.0,2.0,1.0
2020-09-20,32.0,2.0,7.0
2020-09-19,33.0,1.0,3.0
2020-09-18,30.0,1.0,4.0
2020-09-17,31.0,1.0,3.0
2020-09-16,32.0,2.0,4.0
2020-09-15,29.0,2.0,4.0
2020-09-14,31.0,1.0,4.0
2020-09-13,29.0,2.0,0.0
2020-09-12,23.0,1.0,1.0
