year,ltla,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ag_ltla_frac_tp,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2019,E07000227,40-44,8819,0.061332072243742645,7.965922614863301e-05,3.6584007435831445e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,45-49,10067,0.07001133589723973,9.093201379275298e-05,4.176110702534473e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,5-9,8382,0.05829293905738189,7.571194393670962e-05,3.4771192916106046e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,50-54,11416,0.07939300790730991,0.00010311710235999484,4.7357186629714464e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,55-59,10918,0.07592964789173176,9.861882652123542e-05,4.5291324774283676e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,60-64,9109,0.0633488883170713,8.227870404670576e-05,3.7787019359676686e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,65-69,8481,0.0589814383375872,7.660617949501719e-05,3.518187629700493e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,70-74,8711,0.06058098211988233,7.86836964486611e-05,3.6135989202123567e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,75-79,6258,0.0435214999547955,5.652652650392849e-05,2.5960167653184394e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,80-84,4641,0.0322760117114423,4.192067905157112e-05,1.925233909850252e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,85-89,2938,0.020432433184274394,2.6538020912199092e-05,1.2187755283645854e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,90+,1753,0.0121913054363625,1.5834292259729412e-05,7.271999663795502e-06,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000228,0-4,8437,0.055866032763438433,7.724171066996898e-06,3.702618445706986e-06,151022,8,57861,0.00013826238744577522,20.880662276835867,120706,6.627673852169734e-05
2019,E07000228,10-14,9561,0.06330865701685846,8.753206065136582e-06,4.195891307266149e-06,151022,8,57861,0.00013826238744577522,20.880662276835867,120706,6.627673852169734e-05
2019,E07000228,15-19,8051,0.053310113758260384,7.37078360322295e-06,3.533220470118164e-06,151022,8,57861,0.00013826238744577522,20.880662276835867,120706,6.627673852169734e-05
2019,E07000228,20-24,6051,0.040067010104488085,5.539760474860523e-06,2.6555107520413626e-06,151022,8,57861,0.00013826238744577522,20.880662276835867,120706,6.627673852169734e-05
