date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,5-9,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,V12-15,V16-17,V18-24,V25-29,V30-34,V35-39,V40-44,V45-49,V50-54,V55-59,V60-64,V65-69,V70-74,V75-79,V80-84,V85-89,V90+
2020-04-01,96.0,0.0,19.0,1.0658351347261334,0.1077335082543844,0.1069138565261453,0.12050322606585821,0.10797408707527105,0.3774109080326187,0.15757667538882714,1.4161730890400668,1.4116194901259809,0.0,3.423922155323823,3.690503999578379,2.241976108137127,1.6570879496322433,2.4499153068834025,1.178086166848482,1.2691172595121936,0.9378370158152708,0.4237092954833651,22.143895232449566,4.876047520155849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,108.0,9.0,26.0,0.0,0.008187655085783426,0.14693788250466464,0.13426609555349633,0.20729986911707965,0.21867091338972575,2.105458393950167,3.5240699002571922,3.5484128336214087,0.0,0.5275886594138104,0.20089874513590397,1.350241624096163,0.13008703325446544,1.1885667342583113,2.762486798411066,2.0482532270540017,1.9610157409704898,0.6205364654783883,20.68747549032999,4.613664928220236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,108.0,9.0,24.0,0.0,0.0,0.0002003706462179766,0.40815480161978124,1.4887057883399186,1.6026040459703954,2.3460079286245175,3.1049965757055427,4.700079371264292,0.0,4.133680764580336,3.0088460516046887,2.4048262426969687,0.948533130735676,1.515690567112014,1.306296682798026,1.942666407563104,1.2458036176699536,0.2934998147077424,30.45360074864793,7.933554283531697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,143.0,17.0,1.0,0.1172661223694132,0.0,0.0,1.017215676413286,1.200417569195077,1.1615192906326366,0.14823318842911515,2.5115110417318456,2.7443502198844456,0.0,1.2755926327046327,3.1017840331155155,1.4986405114080443,1.424917640394925,0.3554438061493543,1.252306333710702,1.4742150386768234,0.4926597493815581,0.07164382418707856,19.847716678384447,7.558326660106992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,154.0,16.0,13.0,0.0,0.0,1.4873720587849892,0.36031739997549245,0.09279292625379548,0.13046685861258475,0.48593692984744297,0.4585451085309334,2.1595662195738234,0.0,1.4422389484731362,2.0035069336346987,0.36036151265266986,1.895597934926965,2.1023042813531903,1.7193202332645183,1.2453809988822495,0.884858745850569,0.9636563196865311,17.79222341030359,7.448555066932035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,140.0,15.0,10.0,0.0,0.11022101230283067,0.3666584895403022,0.0008428437537429796,0.13344569712753365,1.3515511307302903,1.5349763368953566,1.4705784770957047,3.8120059555079435,0.0,4.778721589051243,0.3094183962483138,2.5298462719247494,0.9555958963851127,1.803861999853241,2.1801360012761686,1.1003566707701316,0.6222576763749963,0.3739565056088429,23.4344309504465,5.9411300641780205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,143.0,19.0,21.0,0.001452904216616934,0.10253650315977271,0.0,1.5836694249048184,1.551993687318354,0.5007405757699426,1.301316087004769,3.38884995663247,2.561459525057368,0.0,5.02432312202249,4.62587618213576,2.257644191891467,1.4286923674416303,1.294876257976236,1.8265206097046665,1.6756102045600685,1.1970597758686474,0.5872527708033703,30.909874146468447,2.9372822504199165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,134.0,21.0,2.0,0.1408129626839479,0.0,0.0,1.826923625542861,1.552915841625091,2.299023711136323,2.085196027065578,2.9005046109151773,4.2164475781710715,0.0,4.60379009281714,5.495013438170098,2.4221743996705105,2.118508235990832,1.4965847569910713,0.6415613882528355,1.4619304123655494,1.0625876393439324,0.32781911666206986,34.65179383740408,7.239678026092659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,140.0,22.0,10.0,0.9788747300831606,0.0,0.010065410637194041,1.090569601562613,0.012297586171430584,0.8722105440792428,0.13838770129091688,3.2571025294486167,3.5514486147182023,1.4319545051242486,2.4306509459227947,5.496671099185552,4.191104551445279,1.221163399712785,1.476090429481185,2.2722015622535117,1.324489334078788,0.7876860593761978,0.6143086176130983,31.15727722218482,8.857282040051672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,121.0,20.0,28.0,0.0,1.3847584261703887,0.00026591283590496437,0.015997940616524774,0.9074608485205348,1.3872240381829926,1.4581953619944503,1.6435771148610947,1.506325021594928,0.0,1.6633338231693002,1.7544938091445097,0.9061287863509266,1.2698235002323772,1.683299962465599,0.24349844945203444,1.7603410109617945,0.9774100472977603,0.6739430455432998,19.236077099394418,3.6376601759556335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
