ltla,sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000046,male,3504,3615,3576,4109,3607,3452,3276,3240,3809,4687,5002,4756,4681,5618,4398,3132,2119,1146,628
E06000047,female,13741,14165,12638,14984,18478,15332,15126,14270,16276,19146,19709,18163,16324,17150,12840,10554,7747,4781,2829
E06000047,male,14670,14711,13297,15809,19049,14888,15136,13478,15709,18757,19270,16988,15805,16354,11993,9094,5872,2974,1240
E06000049,female,9908,10228,9938,10204,8909,9315,10232,10670,13250,15080,15059,12558,11646,12975,10063,8134,6161,4319,2962
E06000049,male,10512,11106,10268,10780,9614,9475,9484,10189,12492,14083,14699,12448,11331,12460,9334,7103,4802,2693,1238
E06000050,female,9068,9037,8639,9569,10022,9487,9706,9587,11361,12781,13059,11283,10190,11057,8382,7001,5262,3428,2263
E06000050,male,9656,9600,8966,9676,10096,9149,9129,8944,10821,12089,12460,10717,9944,10553,7906,6074,3872,2184,931
E06000051,female,7302,8133,8285,8731,7167,7802,7880,7891,9862,11558,11963,10730,10560,11533,9200,7132,5300,3639,2620
E06000051,male,7795,8438,8269,9277,8596,9242,8230,8026,9582,11564,12131,10470,10023,10784,8533,6362,4281,2345,991
E06000052,female,14387,14312,13562,15503,14675,13316,14298,14489,17687,20312,20419,19719,19227,21968,16584,12289,9497,6614,4378
E06000052,male,15119,15015,14400,16208,15400,13657,13367,13647,15947,18403,19331,18180,17759,20836,15337,10942,7566,4116,1817
E06000053,female,59,50,54,38,77,66,71,67,82,76,87,69,75,81,74,47,41,26,22
E06000053,male,56,63,56,34,62,89,68,67,57,80,83,89,88,93,72,51,26,29,10
E06000054,female,13795,14801,13683,14076,11010,12641,13435,13963,17111,19124,18563,16052,14801,15734,12297,9520,7473,5204,3575
E06000054,male,14547,15381,14138,14455,13122,14896,13851,13268,15952,18282,18311,15865,14136,15027,11241,8479,5927,3276,1475
E06000055,female,5403,5281,4711,4875,4510,5050,5811,5683,5741,6110,6003,5057,4390,4477,3365,2754,2341,1599,1010
E06000055,male,5643,5524,5060,5467,4901,4939,5325,5270,5634,6216,5873,5005,4225,4405,3136,2445,1680,1028,429
E06000056,female,8570,8527,7546,7082,6507,8476,9117,9303,9930,10547,10513,8724,7777,7908,5923,4471,3344,2067,1259
E06000056,male,9016,8731,7838,7839,7240,8450,8361,8759,9523,10288,10446,8821,7423,7710,5471,4112,2743,1435,624
E06000057,female,7414,8093,8013,8169,7370,8173,8464,8467,9847,11712,13003,12468,11446,12283,8866,7163,5293,3427,2218
E06000057,male,7895,8711,8532,8921,8148,8216,7712,8151,9365,10847,12108,11677,10804,11446,8494,6146,4240,2209,942
E06000058,female,10557,10185,9058,10845,13365,11630,13076,11805,12147,13081,13145,11533,10883,12353,9428,8068,7092,5285,3731
E06000058,male,11370,10808,9391,11103,13906,12420,13360,12789,12799,13686,13316,11202,10126,11514,8722,6971,5242,3168,1729
E06000059,female,8404,9415,9168,9822,7443,7991,8318,8626,10987,13100,14285,13472,13576,16019,12402,9675,7969,5519,3807
E06000059,male,8782,9683,9866,10859,8855,9241,7664,8396,10426,12494,13653,12691,12251,14699,11582,8702,6295,3776,1723
E06000060,female,16424,17011,15823,15149,12997,14629,15862,17354,19001,20824,19652,16701,14564,15099,11820,9759,7608,5071,3440
E06000060,male,16878,17906,16678,16284,13283,13866,14452,16280,18631,19903,19965,16783,14113,14033,10668,8251,5882,3079,1391
E07000008,female,3403,3235,2609,4529,9000,4751,4500,4152,3546,3374,3237,2813,2533,2286,1780,1531,1286,1025,782
E07000008,male,3667,3351,2715,4636,10552,6994,5337,4553,3685,3744,3409,2808,2368,2166,1576,1249,986,611,326
E07000009,female,2773,2753,2345,2235,1836,2491,2945,3000,3260,3344,3228,2700,2534,2708,2045,1541,1230,911,543
E07000009,male,2877,3010,2624,2438,1998,2337,2584,2917,3220,3362,3153,2609,2387,2658,1980,1440,1003,532,232
E07000010,female,2879,2571,2514,2711,2604,2910,2946,2543,3129,3541,3610,3121,3243,3415,2565,2102,1730,1178,704
E07000010,male,3025,2748,2560,2836,2734,3067,2781,2635,3053,3475,3564,3132,3094,3339,2472,1920,1337,705,321
E07000011,female,5093,5017,4720,4678,4168,5214,5484,5597,6098,6803,6641,5569,5201,5512,4101,3134,2211,1501,1084
E07000011,male,5434,5343,5063,5130,4351,5579,5373,5481,6190,6814,6614,5767,4897,5507,3925,2825,1814,951,450
E07000012,female,4599,4851,4575,4214,3134,3920,4740,5482,5895,6130,5826,4858,4393,4703,3445,2758,2095,1496,993
E07000012,male,4788,5230,4826,4446,3268,4121,4469,5203,5914,5822,5763,4932,4196,4493,3270,2427,1740,1015,458
E07000026,female,2453,2456,2396,2516,2297,2385,2539,2462,3110,3865,3786,3542,3291,3596,2688,2231,1672,1129,701
E07000026,male,2318,2653,2594,2764,2647,2519,2420,2357,2851,3684,3710,3397,3243,3578,2666,2004,1302,656,278
E07000027,female,1851,1819,1763,1901,1891,1996,1881,1753,2266,2626,2532,2288,2098,2240,1804,1439,985,644,427
E07000027,male,1866,1946,1870,1995,2010,2126,1867,1716,2002,2562,2646,2231,2043,2214,1767,1282,775,383,171
E07000028,female,3060,2924,2701,2984,3562,3049,3335,2960,3488,3978,4108,3748,3339,3495,2678,2230,1759,1203,729
E07000028,male,3196,3110,2815,2759,3339,2960,3213,2952,3557,3740,4044,3724,3297,3383,2479,1899,1293,690,329
E07000029,female,1773,1788,1686,1806,1635,1989,1949,1823,2256,2601,2779,2542,2244,2310,1747,1503,1116,675,419
E07000029,male,1959,1970,1751,1925,2088,2011,1909,1777,2076,2626,2859,2674,2313,2479,1819,1377,857,409,168
E07000030,female,1090,1240,1254,1345,1108,1104,1231,1281,1633,2109,2168,1974,1960,2041,1576,1312,949,709,465
E07000030,male,1225,1356,1343,1477,1321,1305,1206,1135,1475,1986,2117,1929,1987,2084,1558,1197,747,408,171
E07000031,female,2093,2350,2470,2620,1966,2103,2425,2514,3267,3997,4250,3944,3753,4403,3318,2719,2198,1575,990
E07000031,male,2217,2507,2667,2965,2485,2245,2301,2370,2927,3689,3996,3774,3570,4438,3218,2449,1637,965,401
E07000032,female,3104,3300,3093,3430,3308,3391,3558,3550,4318,4978,4799,4177,3969,4454,3320,2435,1816,1259,928
E07000032,male,3296,3371,3384,3493,3295,3238,3268,3273,4312,4842,4837,4259,3935,4356,3158,2151,1404,784,345
E07000033,female,2289,2145,1973,2228,2160,2422,2425,2077,2689,3143,2875,2570,2259,2412,1993,1447,1133,716,518
E07000033,male,2234,2239,2073,2277,2340,2270,2357,2183,2574,3144,2889,2555,2313,2400,1922,1272,841,418,142
E07000034,female,2845,2844,2466,2879,3106,3159,3026,3078,3548,4017,3946,3456,3107,3462,2595,2124,1593,1134,789
E07000034,male,2928,2847,2595,3152,3114,3092,3118,2866,3499,3938,3949,3532,3167,3188,2446,1716,1194,662,286
E07000035,female,1446,1725,1893,1917,1398,1402,1389,1627,2270,2879,3001,2688,2747,2953,2241,1767,1356,913,611
E07000035,male,1477,1785,1921,2093,1684,1636,1399,1460,2147,2867,2938,2713,2563,2919,2154,1496,1060,506,260
E07000036,female,3197,3183,2927,3108,3225,3755,3593,3383,3991,4693,4375,3549,3247,3565,2719,2255,1841,1114,803
E07000036,male,3526,3425,3087,3295,3239,3492,3170,3136,3896,4444,4481,3625,3180,3293,2582,1964,1342,658,326
E07000037,female,2316,2462,2421,2670,2607,2392,2483,2500,3081,3741,3791,3262,2861,3074,2360,1738,1288,854,543
E07000037,male,2369,2641,2443,2744,2701,2621,2311,2294,2980,3656,3793,3290,2953,3053,2117,1441,972,480,220
E07000038,female,2400,2511,2591,2595,2484,2550,2535,2626,3318,3875,3813,3635,3348,3832,3124,2363,1670,1028,652
E07000038,male,2405,2631,2527,2723,2714,2504,2493,2330,3148,3700,3737,3552,3259,3632,2859,2132,1339,704,322
E07000039,female,2825,2970,2749,2831,2524,2993,3194,3229,3674,4057,3797,3105,2960,3027,2154,1606,1262,801,440
E07000039,male,2979,3170,2950,3157,2553,2790,2979,2990,3697,4055,3713,3127,2864,2949,2173,1414,904,493,190
E07000040,female,3027,3487,3246,3440,2595,2872,3003,3234,4078,4942,5055,4835,5061,6107,4921,4079,3342,2440,1754
E07000040,male,3381,3591,3509,3792,3215,3232,2797,2974,3740,4566,4540,4465,4477,5589,4503,3531,2560,1578,822
E07000041,female,3252,3089,2554,4691,8744,4818,4258,3645,3533,3830,3740,3188,2994,3032,2436,1978,1663,1368,969
E07000041,male,3537,3254,2728,4325,8720,5653,4580,3833,3715,3744,3611,3102,2656,2733,2001,1575,1146,684,300
E07000042,female,2112,2301,2145,2312,1711,2027,2108,2120,2578,2996,3147,2778,2716,2823,2182,1704,1298,953,632
E07000042,male,2260,2485,2368,2441,1824,1874,2024,1825,2473,2811,2898,2608,2597,2855,2166,1525,1007,630,268
E07000043,female,2434,2524,2366,2549,2022,2397,2348,2394,2884,3485,3565,3316,3201,3572,2995,2201,1723,1209,873
E07000043,male,2603,2552,2556,2648,2475,2618,2225,2331,2782,3221,3460,3126,2926,3473,2638,1998,1346,794,332
E07000044,female,1847,2106,2134,2123,1543,1648,1884,2049,2492,3341,3569,3361,3411,3818,2804,2068,1667,1127,721
E07000044,male,1949,2274,2230,2393,2002,1916,1714,1770,2218,2826,3184,3117,3131,3542,2607,1892,1304,734,370
E07000045,female,3118,3214,3144,3212,2768,3156,3145,3298,3976,4849,5229,4675,4704,5308,3999,3056,2443,1899,1406
E07000045,male,3293,3506,3316,3621,2989,3178,2922,3088,3594,4447,4905,4302,4314,4889,3767,2658,1891,1073,551
