msoa,ltla,ppln_msoa,ppln_ltla,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02006247,E07000202,8909,133729,8,3134,0.0025526483726866626,22.74154435226548,male,55-59,193,0.021663486362105737,5.529926320894892e-05
E02006287,E07000244,5943,239946,734,2315,0.31706263498920084,1884.3032397408206,female,55-59,301,0.050647820965842166,0.01605853157189121
E02006287,E07000244,5943,239946,734,2315,0.31706263498920084,1884.3032397408206,male,55-59,245,0.04122497055359246,0.01307089779107424
E02006288,E07000244,8887,239946,21,2791,0.007524184879971337,66.86743102830528,female,55-59,313,0.03521998424665242,0.0002650016729414908
E02006288,E07000244,8887,239946,21,2791,0.007524184879971337,66.86743102830528,male,55-59,295,0.03319455384269157,0.00024976196012057434
E02006238,E07000245,9668,171481,9,3906,0.002304147465437788,22.276497695852534,female,55-59,302,0.031237070748862224,7.197481739369177e-05
E02006238,E07000245,9668,171481,9,3906,0.002304147465437788,22.276497695852534,male,55-59,257,0.02658254033926355,6.125009294761187e-05
E02006289,E07000244,8262,239946,74,2789,0.026532807457870206,219.21405521692364,female,55-59,278,0.0336480271120794,0.0008927766247019992
E02006289,E07000244,8262,239946,74,2789,0.026532807457870206,219.21405521692364,male,55-59,274,0.03316388283708545,0.0008799309178717545
E02006297,E07000244,8031,239946,10,2580,0.003875968992248062,31.127906976744185,female,55-59,274,0.03411779354999377,0.0001322395098836968
E02006297,E07000244,8031,239946,10,2580,0.003875968992248062,31.127906976744185,male,55-59,257,0.03200099613995767,0.00012403486875952585
E02006293,E07000244,10870,239946,13,3359,0.003870199464126228,42.069068175052095,female,55-59,339,0.031186752529898804,0.00012069895292905163
E02006293,E07000244,10870,239946,13,3359,0.003870199464126228,42.069068175052095,male,55-59,336,0.030910763569457222,0.00011963082060224587
E02006290,E07000244,8125,239946,56,2942,0.019034670292318152,154.65669612508498,female,55-59,268,0.03298461538461538,0.0006278512785650787
E02006290,E07000244,8125,239946,56,2942,0.019034670292318152,154.65669612508498,male,55-59,249,0.030646153846153847,0.0005833394341891963
E02006245,E07000202,8022,133729,8,2975,0.002689075630252101,21.571764705882355,female,55-59,233,0.029045125903764648,7.810454024541754e-05
E02006245,E07000202,8022,133729,8,2975,0.002689075630252101,21.571764705882355,male,55-59,212,0.02642732485664423,7.10650752447576e-05
E02005584,E07000148,10570,132158,35,3687,0.009492812584757255,100.33902902088418,female,55-59,278,0.02630085146641438,0.0002496690537902097
E02005584,E07000148,10570,132158,35,3687,0.009492812584757255,100.33902902088418,male,55-59,279,0.026395458845789973,0.00025056714391175723
E02006309,E07000244,6788,239946,2618,3186,0.8217200251098556,5577.8355304457,female,55-59,225,0.033146729522687095,0.027237331415692033
E02006309,E07000244,6788,239946,2618,3186,0.8217200251098556,5577.8355304457,male,55-59,162,0.023865645256334708,0.019610878619298264
E02006263,E07000203,7284,97076,36,2362,0.015241320914479255,111.0177815410669,female,55-59,287,0.03940142778693026,0.0006005298053892843
E02006263,E07000203,7284,97076,36,2362,0.015241320914479255,111.0177815410669,male,55-59,223,0.030615046677649645,0.00046661375122582016
E02005598,E07000149,7810,124495,16,2606,0.0061396776669224865,47.95088257866462,female,55-59,241,0.03085787451984635,0.00018945740303819708
E02005598,E07000149,7810,124495,16,2606,0.0061396776669224865,47.95088257866462,male,55-59,233,0.029833546734955186,0.00018316836061369263
E02005587,E07000148,9858,132158,35,3773,0.00927643784786642,91.44712430426716,female,55-59,241,0.024447149523229864,0.000226782463109739
E02005587,E07000148,9858,132158,35,3773,0.00927643784786642,91.44712430426716,male,55-59,226,0.022925542706431323,0.00021266737204481747
E02005605,E07000149,10234,124495,14,3262,0.004291845493562232,43.92274678111588,female,55-59,370,0.036153996482313856,0.0001551673668768835
E02005605,E07000149,10234,124495,14,3262,0.004291845493562232,43.92274678111588,male,55-59,355,0.03468829392222005,0.0001488767979494423
E02005519,E07000143,7810,131009,8,3002,0.002664890073284477,20.812791472351766,female,55-59,199,0.025480153649167735,6.790180852543034e-05
E02005519,E07000143,7810,131009,8,3002,0.002664890073284477,20.812791472351766,male,55-59,204,0.02612035851472471,6.960788411652154e-05
E02005592,E07000148,9269,132158,21,2394,0.008771929824561403,81.30701754385964,female,55-59,268,0.028913582910777863,0.00025362792026998123
