ltla,sex,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E07000043,male,2086,1037,3183,2701,2383,2492,2534,3117,3512,3401,3123,3072,3213,2091,1510,845,374
E07000044,female,1834,875,2107,1714,1908,2264,2274,2988,3665,3654,3447,3575,3588,2265,1709,1151,684
E07000044,male,1848,905,2641,1929,1813,1870,2045,2595,3210,3353,3153,3271,3268,2028,1443,797,380
E07000045,female,2612,1267,3677,3353,3413,3595,3575,4618,5318,5306,4897,4964,4984,3386,2521,1781,1474
E07000045,male,2796,1362,4167,3086,3328,3412,3325,4215,5067,4862,4488,4520,4698,2882,1976,1179,556
E07000046,female,1357,671,1867,1601,1633,1684,1771,2324,2598,2823,2704,2765,2627,1649,1299,836,563
E07000046,male,1425,674,2160,1618,1507,1592,1553,2148,2552,2562,2495,2627,2518,1670,1098,599,244
E07000047,female,1100,547,1453,1128,1262,1429,1395,1935,2285,2399,2116,2158,2205,1411,1053,739,519
E07000047,male,1249,574,1610,1221,1236,1386,1251,1798,2138,2191,2073,2013,2187,1306,895,527,228
E07000061,female,2102,1085,3791,2572,2778,3179,2962,3396,3677,3457,3247,3297,3557,2399,2174,1648,1251
E07000061,male,2152,1077,4165,2726,2796,3012,2766,3249,3464,3414,2814,2928,3133,2034,1659,1002,638
E07000062,female,1927,1015,3555,2846,2971,2854,2604,3244,3672,3306,3032,2733,2623,1661,1274,899,816
E07000062,male,2085,1002,3700,2693,2755,2750,2683,3222,3555,3131,2672,2541,2546,1396,1004,553,321
E07000063,female,2219,1125,3066,2382,2526,2907,3029,3687,4009,3651,3432,3475,3676,2604,2082,1521,1171
E07000063,male,2448,1159,3485,2362,2415,2768,2603,3421,3894,3661,3126,3256,3182,2209,1562,976,527
E07000064,female,1773,918,2665,2008,1957,2138,2257,3044,3582,3714,3682,3997,4386,3018,2370,1683,1286
E07000064,male,1886,923,3079,2079,1911,1906,1962,2858,3429,3457,3288,3592,4011,2574,1916,1069,598
E07000065,female,3574,1699,4677,3670,3760,4220,4652,5853,6578,6148,5601,5690,6164,4056,3121,2178,1527
E07000065,male,3672,1814,5123,3523,3430,3938,3755,5384,6291,5873,5225,5057,5506,3573,2496,1466,699
E07000066,female,4219,2112,6884,6307,6761,6670,6014,6534,6690,6019,5099,4568,4607,3201,2643,1712,994
E07000066,male,4529,2077,7122,5840,6157,5970,5703,6340,6424,5752,4716,4108,4052,2533,1967,1076,461
E07000067,female,3497,1606,4716,4279,4838,4788,4839,5629,6046,5203,4635,4445,4609,2794,2092,1486,1078
E07000067,male,3606,1816,5239,4141,4364,4479,4552,5588,5678,5088,4438,4108,4020,2630,1780,951,482
E07000068,female,1817,858,2562,2156,2349,2542,2553,2784,3090,2698,2161,1950,2154,1508,1370,984,663
E07000068,male,1837,943,2649,2194,2178,2209,2444,2671,2913,2667,2073,1854,1940,1179,1016,624,319
E07000069,female,1897,958,3044,2440,2400,2461,2493,3114,3318,3045,2958,3168,3484,2467,1755,1064,589
E07000069,male,2001,935,3504,2559,2263,2240,2364,2906,3228,3159,2697,2735,3076,1983,1380,747,286
E07000070,female,4025,1904,6213,5402,5818,6039,5887,6403,6566,5675,4993,4685,5050,3235,2662,1726,1093
E07000070,male,4328,1995,6437,5451,5872,5781,5789,6423,6309,5620,4770,4278,4410,2718,2168,1286,568
E07000071,female,3978,1883,9658,7521,6485,6368,5826,6341,6563,5586,4838,4898,4924,3233,2378,1652,1024
E07000071,male,4213,2014,10952,7789,6481,6194,5986,6481,6278,5526,4423,4340,4377,2739,2009,1112,483
E07000072,female,2812,1399,4471,3976,4166,4537,4291,5000,5214,4646,3808,3493,3578,2553,1975,1536,1002
E07000072,male,2926,1411,4695,4008,3689,3936,3977,4518,4814,4418,3608,3180,3296,2098,1594,968,460
E07000073,female,1894,928,3072,2955,3526,3328,2722,2906,2974,2783,2323,1937,1783,1351,1182,849,472
E07000073,male,2066,948,3430,2661,3103,3181,2716,2653,2822,2637,2233,1694,1500,1030,787,483,217
E07000074,female,1321,677,1993,1521,1471,1716,1848,2448,2747,2422,2305,2275,2417,1525,1073,734,471
E07000074,male,1410,708,2235,1520,1395,1464,1679,2249,2675,2450,2261,2249,2302,1375,975,477,192
E07000075,female,1898,939,3092,2253,2222,2560,2588,3386,3385,3159,2661,2726,2986,2006,1603,983,606
E07000075,male,2002,942,3253,2378,2223,2287,2573,3094,3354,3034,2621,2486,2715,1701,1253,698,263
E07000076,female,2844,1355,4498,3577,3319,3385,3652,4592,5306,5430,5286,5808,6456,4264,3231,2199,1449
E07000076,male,3081,1491,5046,3581,3072,3078,3081,4202,4907,4968,4794,5135,5789,3860,2747,1446,685
E07000077,female,2225,1103,2664,2135,2468,2970,2981,3497,3689,3297,2692,2420,2401,1625,1251,891,676
E07000077,male,2280,1150,2929,2197,2219,2553,2762,3426,3474,3264,2610,2361,2375,1447,1093,563,279
E07000078,female,2600,1343,6008,3722,3970,3769,3402,3717,4083,3742,3164,3084,3087,2278,1780,1371,924
E07000078,male,2526,1261,5217,4086,4037,4216,3508,3949,4040,3628,3033,2860,2599,1831,1407,855,443
E07000079,female,1900,860,2867,1861,2147,2398,2555,3328,3769,3493,3158,3171,3261,2216,1719,1170,794
E07000079,male,1871,872,3128,1942,1872,2162,2341,3162,3502,3254,2994,2952,2870,2054,1363,814,376
E07000080,female,1765,1010,3103,2097,2063,2237,2253,3089,3546,3367,3053,3168,2966,1950,1482,940,616
E07000080,male,1801,1042,3481,2212,1938,1979,2121,2970,3351,3331,2942,2972,2863,1993,1231,599,254
