catchment_year,msoa,trust_code,patients_from_msoa_to_trust,total_patients_of_msoa
2012,E02001315,R0A,349,3415
2012,E02001223,R0A,471,2714
2012,E02001124,R0A,217,2611
2012,E02001009,R0A,171,2900
2012,E02000995,R0A,206,3168
2012,E02001049,R0A,722,4521
2012,E02001112,R0A,200,2045
2012,E02006932,R0A,11,1762
2012,E02002961,R0A,11,2842
2012,E02001378,R0A,11,3595
2012,E02002966,R0A,11,2832
2012,E02001390,R0A,11,4237
2012,E02001342,R0A,11,3780
2012,E02001491,R0A,11,3255
2012,E02001494,R0A,11,2805
2012,E02006165,R0A,11,2592
2012,E02002299,R0A,11,2877
2012,E02005306,R0A,11,3216
2012,E02001335,R0A,11,3448
2012,E02003841,R0A,11,3501
2012,E02001459,R0A,11,3052
2012,E02006189,R0A,10,2248
2012,E02006167,R0A,10,3490
2012,E02002255,R0A,10,3635
2012,E02004003,R0A,10,5059
2012,E02006170,R0A,10,2019
2012,E02002190,R0A,10,5339
2012,E02002329,R0A,10,3728
2012,E02001480,R0A,10,3137
2012,E02001442,R0A,10,2549
2012,E02005312,R0A,10,2573
2012,E02003797,R0A,10,3696
2012,E02006852,R0A,10,3257
2012,E02002301,R0A,10,2918
2012,E02002583,R0A,10,3399
2012,E02002323,R0A,10,2979
2012,E02001444,R0A,10,2572
2012,E02001401,R0A,10,3673
2012,E02002957,R0A,10,3462
2012,E02002982,R0A,10,2523
2012,E02006211,R0A,10,2226
2012,E02006016,R0A,10,2847
2012,E02001490,R0A,12,3362
2012,E02002587,R0A,12,3384
2012,E02005310,R0A,12,3210
2012,E02001506,R0A,12,3391
2012,E02003803,R0A,12,2826
2012,E02004013,R0A,12,3856
2012,E02001489,R0A,12,3289
2012,E02006159,R0A,12,2452
2012,E02003845,R0A,12,4079
2012,E02001405,R0A,12,4955
2012,E02002951,R0A,12,2980
2012,E02001421,R0A,12,4529
2012,E02005309,R0A,12,3929
2012,E02003849,R0A,12,3425
2012,E02001488,R0A,12,3550
2012,E02005313,R0A,13,4385
2012,E02001419,R0A,13,3601
2012,E02002954,R0A,13,3322
2012,E02005311,R0A,13,2394
2012,E02002578,R0A,13,3682
2012,E02001437,R0A,13,4455
2012,E02004006,R0A,13,3477
2012,E02003796,R0A,13,3168
2012,E02001425,R0A,13,4830
2012,E02002586,R0A,14,4957
2012,E02001376,R0A,14,3958
2012,E02002322,R0A,14,2249
2012,E02001431,R0A,14,3996
2012,E02003847,R0A,15,3507
2012,E02005307,R0A,15,3886
2012,E02005305,R0A,15,3457
2012,E02003802,R0A,15,3131
2012,E02001413,R0A,15,4237
2012,E02002575,R0A,16,4043
2012,E02003800,R0A,16,2440
2012,E02002952,R0A,16,3003
2012,E02001423,R0A,16,2729
2012,E02004068,R0A,16,2634
2012,E02002608,R0A,16,3730
2012,E02006173,R0A,16,2471
2012,E02001410,R0A,16,3003
2012,E02003807,R0A,17,3304
2012,E02006160,R0A,17,3292
2012,E02001406,R0A,17,3332
2012,E02001443,R0A,17,2419
2012,E02006212,R0A,18,2745
2012,E02002592,R0A,18,2972
2012,E02005241,R0A,18,2378
2012,E02001436,R0A,18,3706
2012,E02001409,R0A,18,4311
2012,E02005317,R0A,19,3470
2012,E02002585,R0A,19,4745
2012,E02002270,R0A,19,2873
2012,E02002604,R0A,19,3026
2012,E02002595,R0A,19,3539
2012,E02001424,R0A,20,6586
2012,E02006158,R0A,20,3171
2012,E02003809,R0A,20,2724
2012,E02003810,R0A,20,2663
2012,E02004014,R0A,22,3267
2012,E02001418,R0A,22,2814
2012,E02005316,R0A,21,3010
2012,E02003794,R0A,21,3361
2012,E02002637,R0A,21,2679
2012,E02005240,R0A,23,2333
2012,E02005242,R0A,23,2519
2012,E02002598,R0A,23,2557
2012,E02002588,R0A,23,4013
2012,E02002582,R0A,23,3198
2012,E02001407,R0A,23,2720
2012,E02003877,R0A,24,3425
2012,E02005287,R0A,24,2001
2012,E02005304,R0A,24,4006
2012,E02001415,R0A,24,3063
2012,E02003874,R0A,26,3906
2012,E02005321,R0A,26,2783
2012,E02005235,R0A,25,1475
2012,E02002600,R0A,25,4083
2012,E02001427,R0A,25,4742
2012,E02005320,R0A,28,2527
2012,E02005267,R0A,28,2120
2012,E02005742,R0A,29,3238
2012,E02005324,R0A,30,2572
2012,E02004023,R0A,31,2357
2012,E02005273,R0A,31,2059
2012,E02005225,R0A,31,2258
2012,E02005222,R0A,32,2472
2012,E02006207,R0A,32,2357
2012,E02003832,R0A,32,2546
2012,E02002594,R0A,32,2318
2012,E02002247,R0A,32,3095
2012,E02002603,R0A,32,2821
2012,E02005234,R0A,33,2307
2012,E02002601,R0A,33,3148
2012,E02002605,R0A,33,3587
2012,E02002602,R0A,33,3417
2012,E02005330,R0A,35,3609
2012,E02005229,R0A,35,2822
2012,E02003825,R0A,35,2574
2012,E02005275,R0A,35,2183
2012,E02002607,R0A,35,4741
2012,E02005323,R0A,36,2883
2012,E02005233,R0A,36,2363
2012,E02005239,R0A,36,2921
2012,E02005243,R0A,36,2423
2012,E02003891,R0A,36,2344
2012,E02005220,R0A,36,2563
2012,E02002648,R0A,34,3164
2012,E02002606,R0A,34,4425
2012,E02003978,R0A,34,2733
2012,E02005253,R0A,34,2270
2012,E02005260,R0A,39,2723
2012,E02003834,R0A,39,2898
2012,E02003823,R0A,39,2887
2012,E02002639,R0A,39,2908
2012,E02002644,R0A,39,3352
2012,E02005209,R0A,39,3641
