catchment_year,msoa,trust_code,patients_from_msoa,total_patients_of_msoa
2014,E02000025,RP4,38,3331
2014,E02000025,RAN,37,3331
2014,E02000025,RAP,47,3331
2014,E02000025,RKE,54,3331
2014,E02000025,RP6,47,3331
2014,E02000025,RQM,9,3331
2014,E02000025,RJZ,8,3331
2014,E02000026,RAL,1888,2470
2014,E02000026,RRV,198,2470
2014,E02000026,RWG,10,2470
2014,E02000026,R1K,12,2470
2014,E02000026,RT3,13,2470
2014,E02000026,RJ1,16,2470
2014,E02000026,RAN,22,2470
2014,E02000026,RP4,31,2470
2014,E02000026,RKE,45,2470
2014,E02000026,R1H,49,2470
2014,E02000026,RAP,73,2470
2014,E02000026,RP6,33,2470
2014,E02000026,RYJ,19,2470
2014,E02000026,RWH,8,2470
2014,E02000027,RAL,3560,4382
2014,E02000027,RRV,268,4382
2014,E02000027,RT3,11,4382
2014,E02000027,RQM,12,4382
2014,E02000027,RWG,15,4382
2014,E02000027,RJ1,35,4382
2014,E02000027,RWH,24,4382
2014,E02000027,RP4,36,4382
2014,E02000027,RYJ,41,4382
2014,E02000027,R1H,39,4382
2014,E02000027,RAP,42,4382
2014,E02000027,R1K,49,4382
2014,E02000027,RAN,56,4382
2014,E02000027,RKE,77,4382
2014,E02000027,RP6,52,4382
2014,E02000028,RAL,1940,2520
2014,E02000028,RRV,223,2520
2014,E02000028,RQM,10,2520
2014,E02000028,RJ1,33,2520
2014,E02000028,R1H,22,2520
2014,E02000028,R1K,26,2520
2014,E02000028,RAP,28,2520
2014,E02000028,RAN,36,2520
2014,E02000028,RKE,59,2520
2014,E02000028,RP6,38,2520
2014,E02000028,RP4,22,2520
2014,E02000028,RYJ,22,2520
2014,E02000028,RWG,9,2520
2014,E02000028,RT3,8,2520
2014,E02000029,RAL,2797,3512
2014,E02000029,RRV,269,3512
2014,E02000029,RWH,10,3512
2014,E02000029,RT3,14,3512
2014,E02000029,RJ1,27,3512
2014,E02000029,R1K,22,3512
2014,E02000029,R1H,30,3512
2014,E02000029,RYJ,33,3512
2014,E02000029,RAP,36,3512
2014,E02000029,RAN,41,3512
2014,E02000029,RP4,51,3512
2014,E02000029,RKE,60,3512
2014,E02000029,RP6,46,3512
2014,E02000030,RAL,2827,3693
2014,E02000030,RRV,274,3693
2014,E02000030,RJZ,11,3693
2014,E02000030,RPY,13,3693
2014,E02000030,RQM,14,3693
2014,E02000030,RJ1,39,3693
2014,E02000030,RWG,28,3693
2014,E02000030,RP4,33,3693
2014,E02000030,R1H,32,3693
2014,E02000030,RKE,42,3693
2014,E02000030,RYJ,56,3693
2014,E02000030,RAN,64,3693
2014,E02000030,R1K,78,3693
2014,E02000030,RP6,48,3693
2014,E02000030,RWH,20,3693
2014,E02000030,RT3,32,3693
2014,E02000030,RAP,20,3693
2014,E02000031,RAL,2439,3209
2014,E02000031,RRV,307,3209
2014,E02000031,RWG,11,3209
2014,E02000031,RQM,16,3209
2014,E02000031,RJ1,25,3209
2014,E02000031,R1H,22,3209
2014,E02000031,RP4,26,3209
2014,E02000031,R1K,33,3209
2014,E02000031,RAN,40,3209
2014,E02000031,RYJ,55,3209
2014,E02000031,RKE,95,3209
2014,E02000031,RP6,34,3209
2014,E02000031,RT3,18,3209
2014,E02000031,RAP,22,3209
2014,E02000031,RJZ,8,3209
2014,E02000032,RAL,2092,3054
2014,E02000032,RRV,312,3054
2014,E02000032,RAP,196,3054
2014,E02000032,RQX,15,3054
2014,E02000032,RT3,16,3054
2014,E02000032,RJ1,28,3054
2014,E02000032,R1K,23,3054
2014,E02000032,RYJ,25,3054
2014,E02000032,RAN,33,3054
2014,E02000032,RP4,38,3054
2014,E02000032,RKE,80,3054
2014,E02000032,R1H,64,3054
2014,E02000032,RP6,61,3054
2014,E02000032,RQM,9,3054
2014,E02000032,RWH,8,3054
2014,E02000033,RAL,2743,3697
2014,E02000033,RRV,305,3697
2014,E02000033,RWH,11,3697
2014,E02000033,RQM,14,3697
2014,E02000033,RJ1,35,3697
2014,E02000033,R1K,23,3697
2014,E02000033,RAN,36,3697
2014,E02000033,R1H,41,3697
2014,E02000033,RP4,43,3697
2014,E02000033,RYJ,49,3697
2014,E02000033,RAP,140,3697
2014,E02000033,RKE,119,3697
2014,E02000033,RP6,48,3697
2014,E02000033,RT3,14,3697
2014,E02000034,RAL,2687,3557
2014,E02000034,RRV,321,3557
2014,E02000034,RT3,10,3557
2014,E02000034,RQM,11,3557
2014,E02000034,RJ1,39,3557
2014,E02000034,R1H,33,3557
2014,E02000034,RP4,34,3557
2014,E02000034,RYJ,36,3557
2014,E02000034,RAN,37,3557
2014,E02000034,RAP,56,3557
2014,E02000034,RKE,147,3557
2014,E02000034,RP6,52,3557
2014,E02000034,R1K,17,3557
2014,E02000034,RPY,9,3557
2014,E02000035,RAL,2589,3460
2014,E02000035,RRV,357,3460
2014,E02000035,RWH,10,3460
2014,E02000035,RWG,12,3460
2014,E02000035,RT3,15,3460
2014,E02000035,RJ1,23,3460
2014,E02000035,R1H,33,3460
2014,E02000035,RP4,34,3460
2014,E02000035,RAN,41,3460
2014,E02000035,R1K,47,3460
2014,E02000035,RYJ,51,3460
2014,E02000035,RKE,115,3460
2014,E02000035,RP6,46,3460
2014,E02000035,RAP,21,3460
2014,E02000036,RAL,3522,4817
2014,E02000036,RRV,388,4817
2014,E02000036,R1K,300,4817
2014,E02000036,RJ1,42,4817
2014,E02000036,R1H,30,4817
2014,E02000036,RKE,35,4817
2014,E02000036,RYJ,65,4817
2014,E02000036,RP4,56,4817
2014,E02000036,RWG,83,4817
2014,E02000036,RAN,103,4817
2014,E02000036,RT3,31,4817
2014,E02000036,RP6,45,4817
2014,E02000036,RQM,20,4817
2014,E02000036,RWH,18,4817
2014,E02000036,RAS,9,4817
2014,E02000037,RAL,2540,3892
2014,E02000037,RRV,292,3892
2014,E02000037,R1K,438,3892
2014,E02000037,RPY,11,3892
2014,E02000037,RWH,14,3892
2014,E02000037,RJ1,39,3892
2014,E02000037,RKE,24,3892
2014,E02000037,R1H,33,3892
2014,E02000037,RP4,54,3892
2014,E02000037,RAN,118,3892
2014,E02000037,RWG,93,3892
2014,E02000037,RYJ,81,3892
2014,E02000037,RT3,29,3892
2014,E02000037,RP6,45,3892
2014,E02000037,RQM,19,3892
2014,E02000038,RAL,3000,4238
2014,E02000038,RRV,412,4238
2014,E02000038,RKE,310,4238
2014,E02000038,RQX,11,4238
2014,E02000038,RT3,14,4238
2014,E02000038,RJZ,15,4238
2014,E02000038,RJ1,36,4238
2014,E02000038,RQM,22,4238
2014,E02000038,R1H,38,4238
2014,E02000038,R1K,44,4238
2014,E02000038,RYJ,54,4238
2014,E02000038,RAP,92,4238
2014,E02000038,RP6,49,4238
2014,E02000038,RP4,38,4238
2014,E02000038,RAN,38,4238
2014,E02000038,RWH,9,4238
2014,E02000039,RAL,1806,2527
2014,E02000039,RRV,251,2527
2014,E02000039,RAP,10,2527
2014,E02000039,RT3,15,2527
2014,E02000039,R1H,23,2527
2014,E02000039,RWG,33,2527
2014,E02000039,RKE,35,2527
2014,E02000039,RYJ,59,2527
2014,E02000039,RAN,61,2527
2014,E02000039,R1K,102,2527
2014,E02000039,RP6,25,2527
2014,E02000039,RP4,21,2527
2014,E02000039,RJ1,23,2527
2014,E02000039,RQM,8,2527
2014,E02000040,RAL,2171,2908
2014,E02000040,RRV,263,2908
2014,E02000040,RQM,11,2908
2014,E02000040,RAP,13,2908
2014,E02000040,RJ1,30,2908
2014,E02000040,RT3,22,2908
2014,E02000040,RWG,35,2908
2014,E02000040,RYJ,46,2908
2014,E02000040,RKE,49,2908
2014,E02000040,RAN,60,2908
2014,E02000040,R1K,66,2908
2014,E02000040,RP6,24,2908
2014,E02000040,R1H,20,2908
2014,E02000040,RP4,35,2908
2014,E02000040,RPY,9,2908
2014,E02000041,RAL,2801,3965
2014,E02000041,RRV,263,3965
2014,E02000041,R1K,433,3965
2014,E02000041,RAS,10,3965
2014,E02000041,RJ1,23,3965
2014,E02000041,RKE,22,3965
2014,E02000041,RQM,27,3965
2014,E02000041,R1H,33,3965
2014,E02000041,RP4,34,3965
2014,E02000041,RWG,48,3965
2014,E02000041,RAN,71,3965
2014,E02000041,RYJ,66,3965
2014,E02000041,RT3,24,3965
2014,E02000041,RP6,39,3965
2014,E02000041,RAP,10,3965
2014,E02000041,RWH,9,3965
2014,E02000041,RPY,8,3965
2014,E02000042,RAL,3378,4643
2014,E02000042,RRV,492,4643
2014,E02000042,RKE,265,4643
2014,E02000042,RT3,13,4643
2014,E02000042,RJ1,36,4643
2014,E02000042,RAP,27,4643
2014,E02000042,RP4,43,4643
2014,E02000042,R1H,44,4643
2014,E02000042,RAN,53,4643
2014,E02000042,R1K,65,4643
2014,E02000042,RYJ,76,4643
2014,E02000042,RP6,48,4643
2014,E02000042,RQM,17,4643
2014,E02000042,RJZ,9,4643
2014,E02000042,RWG,9,4643
2014,E02000042,RWH,9,4643
2014,E02000043,RAL,1844,2692
2014,E02000043,RRV,327,2692
2014,E02000043,RKE,171,2692
2014,E02000043,RWG,12,2692
2014,E02000043,RQM,16,2692
2014,E02000043,RJ1,32,2692
2014,E02000043,RP4,29,2692
2014,E02000043,RYJ,38,2692
2014,E02000043,R1K,57,2692
2014,E02000043,RP6,35,2692
2014,E02000043,R1H,21,2692
2014,E02000043,RAN,35,2692
2014,E02000043,RAP,12,2692
2014,E02000043,RT3,9,2692
2014,E02000044,RAL,2714,3676
2014,E02000044,RRV,227,3676
2014,E02000044,R1K,310,3676
2014,E02000044,RQM,14,3676
2014,E02000044,RWH,16,3676
2014,E02000044,R1H,23,3676
2014,E02000044,RWG,31,3676
2014,E02000044,RKE,32,3676
2014,E02000044,RP4,40,3676
2014,E02000044,RYJ,65,3676
2014,E02000044,RAN,70,3676
2014,E02000044,RP6,27,3676
2014,E02000044,RT3,21,3676
2014,E02000044,RJ1,20,3676
2014,E02000045,RAL,1910,4126
2014,E02000045,RKE,1266,4126
2014,E02000045,RRV,438,4126
2014,E02000045,RJZ,10,4126
2014,E02000045,RQM,14,4126
2014,E02000045,RJ1,54,4126
2014,E02000045,R1K,31,4126
2014,E02000045,R1H,42,4126
2014,E02000045,RP4,48,4126
2014,E02000045,RYJ,58,4126
2014,E02000045,RAP,82,4126
2014,E02000045,RP6,54,4126
2014,E02000045,RAN,31,4126
2014,E02000045,RQX,9,4126
2014,E02000045,RWH,9,4126
2014,E02000046,RAL,1764,2627
2014,E02000046,RRV,298,2627
2014,E02000046,RKE,248,2627
2014,E02000046,RQM,10,2627
2014,E02000046,RT3,12,2627
2014,E02000046,RJ1,33,2627
2014,E02000046,RP4,24,2627
2014,E02000046,R1K,25,2627
2014,E02000046,R1H,38,2627
2014,E02000046,RYJ,47,2627
2014,E02000046,RP6,37,2627
2014,E02000046,RAN,25,2627
2014,E02000046,RAP,10,2627
2014,E02000047,RAL,3593,5233
2014,E02000047,RRV,305,5233
2014,E02000047,R1K,779,5233
2014,E02000047,RJZ,11,5233
2014,E02000047,RQX,13,5233
2014,E02000047,RAP,14,5233
2014,E02000047,RJ1,33,5233
2014,E02000047,RQM,25,5233
2014,E02000047,R1H,32,5233
2014,E02000047,RKE,42,5233
2014,E02000047,RP4,52,5233
2014,E02000047,RAN,60,5233
2014,E02000047,RYJ,111,5233
2014,E02000047,RT3,23,5233
2014,E02000047,RP6,31,5233
2014,E02000047,RWG,19,5233
2014,E02000047,RWH,9,5233
2014,E02000048,RAL,2585,3699
2014,E02000048,RRV,409,3699
2014,E02000048,RJZ,13,3699
2014,E02000048,RAP,16,3699
2014,E02000048,RJ1,38,3699
2014,E02000048,RQM,24,3699
2014,E02000048,R1H,35,3699
2014,E02000048,RP4,39,3699
2014,E02000048,RWG,42,3699
2014,E02000048,RAN,56,3699
2014,E02000048,RKE,106,3699
2014,E02000048,R1K,118,3699
2014,E02000048,RYJ,91,3699
2014,E02000048,RP6,42,3699
2014,E02000048,RT3,16,3699
2014,E02000049,RAL,2700,3742
2014,E02000049,RRV,226,3742
2014,E02000049,R1K,377,3742
2014,E02000049,RWG,11,3742
2014,E02000049,RJZ,14,3742
2014,E02000049,RJ1,36,3742
2014,E02000049,RQM,23,3742
2014,E02000049,R1H,26,3742
2014,E02000049,RKE,27,3742
2014,E02000049,RAN,33,3742
2014,E02000049,RP4,48,3742
2014,E02000049,RYJ,99,3742
2014,E02000049,RP6,29,3742
2014,E02000049,RT3,11,3742
2014,E02000049,RAS,9,3742
2014,E02000049,RAP,9,3742
2014,E02000049,RQX,8,3742
2014,E02000050,RAL,2513,4149
2014,E02000050,RRV,445,4149
2014,E02000050,RKE,730,4149
2014,E02000050,RJZ,11,4149
2014,E02000050,RJ1,44,4149
2014,E02000050,R1K,27,4149
2014,E02000050,RAN,35,4149
2014,E02000050,RP4,40,4149
2014,E02000050,RYJ,46,4149
2014,E02000050,R1H,52,4149
2014,E02000050,RP6,68,4149
2014,E02000050,RT3,20,4149
2014,E02000050,RQM,19,4149
2014,E02000050,RAP,27,4149
2014,E02000051,RAL,2039,3046
2014,E02000051,RRV,357,3046
2014,E02000051,RKE,193,3046
2014,E02000051,RAP,14,3046
2014,E02000051,RQM,16,3046
2014,E02000051,RJ1,45,3046
2014,E02000051,RWG,23,3046
2014,E02000051,R1H,26,3046
2014,E02000051,RP4,29,3046
2014,E02000051,RAN,41,3046
2014,E02000051,R1K,53,3046
2014,E02000051,RYJ,82,3046
2014,E02000051,RT3,21,3046
2014,E02000051,RP6,53,3046
2014,E02000052,RAL,1618,3723
2014,E02000052,RKE,1218,3723
2014,E02000052,RRV,468,3723
2014,E02000052,RJ7,10,3723
2014,E02000052,RQX,11,3723
2014,E02000052,RJZ,13,3723
2014,E02000052,RT3,15,3723
2014,E02000052,RQM,16,3723
2014,E02000052,RJ1,50,3723
2014,E02000052,RAN,26,3723
2014,E02000052,R1K,29,3723
2014,E02000052,R1H,34,3723
2014,E02000052,RP4,46,3723
2014,E02000052,RYJ,42,3723
2014,E02000052,RP6,54,3723
2014,E02000052,RAP,19,3723
2014,E02000053,RAL,2592,4054
2014,E02000053,RRV,247,4054
2014,E02000053,R1K,636,4054
2014,E02000053,RWH,11,4054
2014,E02000053,RWG,13,4054
2014,E02000053,RJZ,14,4054
2014,E02000053,RAP,15,4054
2014,E02000053,RJ1,49,4054
2014,E02000053,R1H,22,4054
2014,E02000053,RKE,46,4054
2014,E02000053,RQM,39,4054
2014,E02000053,RAN,48,4054
2014,E02000053,RYJ,132,4054
2014,E02000053,RP6,41,4054
2014,E02000053,RT3,21,4054
2014,E02000053,RP4,46,4054
2014,E02000054,RAL,1980,2765
2014,E02000054,RRV,273,2765
2014,E02000054,RJZ,10,2765
2014,E02000054,RQM,14,2765
2014,E02000054,RJ1,42,2765
2014,E02000054,R1H,22,2765
2014,E02000054,RAN,28,2765
2014,E02000054,RP4,34,2765
2014,E02000054,RKE,52,2765
2014,E02000054,R1K,120,2765
2014,E02000054,RYJ,87,2765
2014,E02000054,RWG,19,2765
2014,E02000054,RP6,19,2765
2014,E02000054,RT3,10,2765
2014,E02000054,RPY,8,2765
2014,E02000055,RAL,2989,4165
2014,E02000055,RRV,449,4165
2014,E02000055,RJZ,15,4165
2014,E02000055,RJ1,51,4165
2014,E02000055,RWG,26,4165
2014,E02000055,RAN,30,4165
2014,E02000055,R1H,33,4165
2014,E02000055,RQM,31,4165
2014,E02000055,RP4,41,4165
2014,E02000055,R1K,141,4165
2014,E02000055,RKE,93,4165
2014,E02000055,RYJ,119,4165
2014,E02000055,RT3,24,4165
2014,E02000055,RP6,50,4165
2014,E02000055,RAP,17,4165
2014,E02000055,RPY,9,4165
2014,E02000056,RAL,1384,2673
2014,E02000056,RYJ,156,2673
2014,E02000056,RRV,392,2673
2014,E02000056,RKE,370,2673
2014,E02000056,RAP,10,2673
2014,E02000056,RPY,15,2673
2014,E02000056,RJ1,38,2673
2014,E02000056,RAN,25,2673
2014,E02000056,RQM,26,2673
