msoa,ltla,ppln_msoa,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02003991,E07000028,7724,2504,2937,0.8525706503234594,6585.2557030984,female,0-4,162,0.020973588814085967,0.017881466254842104
E02003991,E07000028,7724,2504,2937,0.8525706503234594,6585.2557030984,male,0-4,180,0.02330398757120663,0.01986829583871345
E02003994,E07000028,7446,2898,3290,0.8808510638297873,6558.817021276596,female,0-4,239,0.032097770615095354,0.02827335539287123
E02003994,E07000028,7446,2898,3290,0.8808510638297873,6558.817021276596,male,0-4,264,0.035455278001611606,0.031230819346100436
E02004000,E07000029,5473,2062,2286,0.9020122484689413,4936.713035870516,female,0-4,157,0.028686278092453863,0.025875374202379644
E02004000,E07000029,5473,2062,2286,0.9020122484689413,4936.713035870516,male,0-4,173,0.03160972044582496,0.02851235501281324
E02003990,E07000028,9787,3255,3864,0.842391304347826,8244.483695652174,female,0-4,259,0.02646367630530295,0.02229277080066281
E02003990,E07000028,9787,3255,3864,0.842391304347826,8244.483695652174,male,0-4,267,0.027281087156432002,0.02298135059373348
E02003987,E07000028,6007,1956,2342,0.8351836037574722,5016.947907771136,female,0-4,109,0.018145496920259695,0.015154821509832606
E02003987,E07000028,6007,1956,2342,0.8351836037574722,5016.947907771136,male,0-4,112,0.018644914266688864,0.015571926689002313
E02003993,E07000028,8583,2611,3201,0.8156825991877539,7001.003748828492,female,0-4,174,0.020272631946871723,0.016536033118801023
E02003993,E07000028,8583,2611,3201,0.8156825991877539,7001.003748828492,male,0-4,169,0.019690085051846672,0.016060859753318234
E02004003,E07000029,11970,4454,5059,0.8804111484483099,10538.52144692627,female,5-9,308,0.025730994152046785,0.022653854112120255
E02004003,E07000029,11970,4454,5059,0.8804111484483099,10538.52144692627,male,5-9,319,0.026649958228905597,0.023462920330410263
E02004013,E07000030,9899,2646,3856,0.6862033195020747,6792.726659751037,female,5-9,252,0.02545711688049298,0.017468758108346583
E02004013,E07000030,9899,2646,3856,0.6862033195020747,6792.726659751037,male,5-9,259,0.02616425901606223,0.01795400138913399
E02004006,E07000029,8984,2928,3477,0.8421052631578947,7565.473684210526,female,5-9,205,0.02281834372217275,0.019215447344987577
E02004006,E07000029,8984,2928,3477,0.8421052631578947,7565.473684210526,male,5-9,228,0.025378450578806767,0.021371326803205696
E02004014,E07000030,7535,1715,3267,0.5249464340373431,3955.47138047138,female,5-9,196,0.026011944260119442,0.013654877381727836
